tar,username,location,text,tweet_date,hashtags_extracted,text_cleaned
-1,ABNewswire,,What is the risk of side effects of the COVID-19 vaccine if someone has Lyme disease? https://t.co/hvdYPTsln0 #FamilyParenting #HealthMedicine #Living #PharmaceuticalsBiotech #US,2022-04-11 23:21:26+00:00,"familyparenting,healthmedicine,living,pharmaceuticalsbiotech,us",What is the risk of side effects of the COVID-19 vaccine if someone has Lyme disease?
0,IARS360,,"COVID-19 Resource Newsletter - Issue 127, April 11 - https://t.co/ECcErpHOfV See a study from Israel that compares outcomes for 623,355 Pfizer vaccine recipients who received a 4th shot with 628,966 persons also eligible for the 4th shot. #COVID19 https://t.co/IqQRXIkeeG",2022-04-11 23:19:14+00:00,covid19,"COVID-19 Resource Newsletter - Issue , April - See a study from Israel that compares outcomes for Pfizer vaccine recipients who received a th shot with persons also eligible for the th shot."
1,Uncle Louie,"New York, USA",So why are only double vax’d and Double boosted Democrats coming down with Covid🤦🏻‍♂️ #covid #CovidIsNotOver  #COVID19  #democrats #BoosterDose  #vaccinated #vaccine #VaccinesWork  #obama #pelosi #psaki #hillary #VaccineSideEffects https://t.co/ovUwD2jKgJ,2022-04-11 23:15:31+00:00,"covid,covidisnotover,covid19,democrats,boosterdose,vaccinated,vaccine,vaccineswork,obama,pelosi,psaki,hillary,vaccinesideeffects",So why are only double vaxd and Double boosted Democrats coming down with Covid
-1,Elisha #NoVaccineMandates #NoVaccinePassports💉,"Carlsbad, CA","“…the vast majority have realized that every Covid policy - from the lockdowns and masks to the tests, death coding, and vaccine passes - has been one, giant fraud”
#COVID19 #CovidRestrictions #CovidVaccine #CovidIsOver https://t.co/Wj0O7kaueg https://t.co/nyF9h6zhv6",2022-04-11 23:07:02+00:00,"covid19,covidrestrictions,covidvaccine,covidisover","the vast majority have realized that every Covid policy - from the lockdowns and masks to the tests, death coding, and vaccine passes - has been one, giant fraud"
0,AngelsWakingUp,,Kyle's vaccine complication https://t.co/kVYSxOmO4K via @YouTube #news #Covid_19 #Omicron #COVID19 #Athletics #athetes #HealthLiteracy #Doctors #nurses #HealthcareUnfiltered,2022-04-11 22:52:25+00:00,"news,covid_19,omicron,covid19,athletics,athetes,healthliteracy,doctors,nurses,healthcareunfiltered",Kyle's vaccine complication via
0,Prof. Dr. Sanjeev Bagai,"New Delhi, India","Compared with COVID19 vac,myopericarditis⬆️post smallpox vac (132·1) but was not diff after influenza vac (1·3) or various other non-smallpox vac (57·0);received COVID-19 vac,myopericarditis⬆️in male,younger than 30yr,mRNA vac,after second vaccine (vs first or third dose).",2022-04-11 22:49:31+00:00,,"Compared with COVID19 vac,myopericarditispost smallpox vac (1321) but was not diff after influenza vac (13) or various other non-smallpox vac (570)received COVID-19 vac,myopericarditisin male,younger than yr,mRNA vac,after second vaccine (vs first or third dose)."
0,Colorado Department of Public Health & Environment,Colorado,"Here is the latest coronavirus in Colorado update for April 11.
 
📊COVID-19 data dashboard: https://t.co/LRM3AmL3XB
➡️COVID-19 vaccine dashboard: https://t.co/V5pozaM8Wg

#Covid19Colorado https://t.co/M7QSmAb7tM",2022-04-11 22:38:59+00:00,covid19colorado,Here is the latest coronavirus in Colorado update for April . COVID-19 data dashboard vaccine dashboard
1,WomensPowerCen,,#COVID19Vaccination #COVID19 We arn’t fully safe with #coronavirus #vaccine as #virus changes itself. World needs ways get rid of #lockdown Normally #sold in #Amazon https://t.co/rzyWrMlQr3 we R giving it #FREE https://t.co/mUOK62YavV #COVID19India,2022-04-11 22:35:04+00:00,"covid19vaccination,covid19,coronavirus,vaccine,virus,lockdown,sold,amazon,free,covid19india",We arnt fully safe with as changes itself. World needs ways get rid of Normally in we R giving it
1,Erie County Department of Health 😷,"Erie County (#Buffalo), NY","Just like dams for floods and firebreaks for wildfires can slow the spread of a disaster, vaccines can slow the spread of sickness and disease like COVID-19.
Make an informed decision. Be part of the solution. Get a #COVID19 vaccine.

https://t.co/6eim4YA1vR https://t.co/yb1vOzzegM",2022-04-11 22:34:00+00:00,covid19,"Just like dams for floods and firebreaks for wildfires can slow the spread of a disaster, vaccines can slow the spread of sickness and disease like COVID-19.Make an informed decision. Be part of the solution. Get a vaccine."
1,Vox,,"A second Covid-19 booster shot has been approved for some people, in part to provide protection in the event of another Covid-19 surge, perhaps from the omicron BA.2 subvariant.

Here is who can get one — and when. Learn more: https://t.co/m7rjHLQaEl https://t.co/SvGh0gS3oy",2022-04-11 22:21:32+00:00,,"A second Covid-19 booster shot has been approved for some people, in part to provide protection in the event of another Covid-19 surge, perhaps from the omicron BA.2 subvariant.Here is who can get one and when. Learn more"
