username,location,text,tweet_date,hashtags_extracted,text_cleaned
ABNewswire,,what is the risk of side effects of the covid-19 vaccine if someone has lyme disease? https://t.co/hvdyptsln0 #familyparenting #healthmedicine #living #pharmaceuticalsbiotech #us,2022-04-11 23:21:26+00:00,"familyparenting,healthmedicine,living,pharmaceuticalsbiotech,us",what is the risk of side effects of the covid-19 vaccine if someone has lyme disease?
IARS360,,"covid-19 resource newsletter - issue 127, april 11 - https://t.co/eccerphofv see a study from israel that compares outcomes for 623,355 pfizer vaccine recipients who received a 4th shot with 628,966 persons also eligible for the 4th shot. #covid19 https://t.co/iqqrxikeeg",2022-04-11 23:19:14+00:00,covid19,covid-19 resource newsletter - issue  april - see a study from israel that compares outcomes for pfizer vaccine recipients who received a th shot with persons also eligible for the th shot
Uncle Louie,"New York, USA",so why are only double vax’d and double boosted democrats coming down with covid🤦🏻‍♂️ #covid #covidisnotover  #covid19  #democrats #boosterdose  #vaccinated #vaccine #vaccineswork  #obama #pelosi #psaki #hillary #vaccinesideeffects https://t.co/ovuwd2jkgj,2022-04-11 23:15:31+00:00,"covid,covidisnotover,covid19,democrats,boosterdose,vaccinated,vaccine,vaccineswork,obama,pelosi,psaki,hillary,vaccinesideeffects",so why are only double vaxd and double boosted democrats coming down with covid
Elisha #NoVaccineMandates #NoVaccinePassports💉,"Carlsbad, CA","“…the vast majority have realized that every covid policy - from the lockdowns and masks to the tests, death coding, and vaccine passes - has been one, giant fraud”
#covid19 #covidrestrictions #covidvaccine #covidisover https://t.co/wj0o7kaueg https://t.co/nyf9h6zhv6",2022-04-11 23:07:02+00:00,"covid19,covidrestrictions,covidvaccine,covidisover",the vast majority have realized that every covid policy - from the lockdowns and masks to the tests death coding and vaccine passes - has been one giant fraud
AngelsWakingUp,,kyle's vaccine complication https://t.co/kvysxomo4k via @youtube #news #covid_19 #omicron #covid19 #athletics #athetes #healthliteracy #doctors #nurses #healthcareunfiltered,2022-04-11 22:52:25+00:00,"news,covid_19,omicron,covid19,athletics,athetes,healthliteracy,doctors,nurses,healthcareunfiltered",kyles vaccine complication via
Prof. Dr. Sanjeev Bagai,"New Delhi, India","compared with covid19 vac,myopericarditis⬆️post smallpox vac (132·1) but was not diff after influenza vac (1·3) or various other non-smallpox vac (57·0);received covid-19 vac,myopericarditis⬆️in male,younger than 30yr,mrna vac,after second vaccine (vs first or third dose).",2022-04-11 22:49:31+00:00,,compared with covid19 vacmyopericarditispost smallpox vac (1321) but was not diff after influenza vac (13) or various other non-smallpox vac (570)received covid-19 vacmyopericarditisin maleyounger than yrmrna vacafter second vaccine (vs first or third dose)
Colorado Department of Public Health & Environment,Colorado,"here is the latest coronavirus in colorado update for april 11.
 
📊covid-19 data dashboard: https://t.co/lrm3aml3xb
➡️covid-19 vaccine dashboard: https://t.co/v5pozam8wg

#covid19colorado https://t.co/m7qsmab7tm",2022-04-11 22:38:59+00:00,covid19colorado,here is the latest coronavirus in colorado update for april  covid-19 data dashboard vaccine dashboard
WomensPowerCen,,#covid19vaccination #covid19 we arn’t fully safe with #coronavirus #vaccine as #virus changes itself. world needs ways get rid of #lockdown normally #sold in #amazon https://t.co/rzywrmlqr3 we r giving it #free https://t.co/muok62yavv #covid19india,2022-04-11 22:35:04+00:00,"covid19vaccination,covid19,coronavirus,vaccine,virus,lockdown,sold,amazon,free,covid19india",we arnt fully safe with as changes itself world needs ways get rid of normally in we r giving it
Erie County Department of Health 😷,"Erie County (#Buffalo), NY","just like dams for floods and firebreaks for wildfires can slow the spread of a disaster, vaccines can slow the spread of sickness and disease like covid-19.
make an informed decision. be part of the solution. get a #covid19 vaccine.

https://t.co/6eim4ya1vr https://t.co/yb1vozzegm",2022-04-11 22:34:00+00:00,covid19,just like dams for floods and firebreaks for wildfires can slow the spread of a disaster vaccines can slow the spread of sickness and disease like covid-19make an informed decision be part of the solution get a vaccine
Vox,,"a second covid-19 booster shot has been approved for some people, in part to provide protection in the event of another covid-19 surge, perhaps from the omicron ba.2 subvariant.

here is who can get one — and when. learn more: https://t.co/m7rjhlqael https://t.co/svgh0gs3oy",2022-04-11 22:21:32+00:00,,a second covid-19 booster shot has been approved for some people in part to provide protection in the event of another covid-19 surge perhaps from the omicron ba2 subvarianthere is who can get one and when learn more
LLERO_CULTURE,"New York, NY",come on texas!  let's read and follow the science!  your lives depend on it. #covid19 #vaccine #covidpandemic #texas # https://t.co/rggi5eounb,2022-04-11 22:01:01+00:00,"covid19,vaccine,covidpandemic,texas",come on texas! lets read and follow the science! your lives depend on it
